,Song_Title,Artist,Lyricist,Composer,Lyric
68,くるみ -for the Film- 幸福な食卓,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,ねぇ くるみ この街の景色は君の目にどう映るの? 今の僕はどう見えるの? ねぇ くるみ 誰かの優しさも皮肉に聞こえてしまうんだ そんな時はどうしたらいい? 良かった事だけ思い出して やけに年老いた気持ちになる とはいえ暮らしの中で 今 動き出そうとしている 歯車のひとつにならなくてはなぁ 希望の数だけ失望は増える それでも明日に胸は震える 「どんな事が起こるんだろう?」 想像してみるんだよ ねぇ くるみ 時間が何もかも洗い連れ去ってくれれば 生きる事は実に容易い ねぇ くるみ あれからは一度も涙は流してないよ でも 本気で笑う事も少ない どこかで掛け違えてきて 気が付けば一つ余ったボタン 同じようにして誰かが 持て余したボタンホールに 出会う事で意味が出来たならいい 出会いの数だけ別れは増える それでも希望に胸は震える 十字路に出くわすたび 迷いもするだろうけど 今以上をいつも欲しがるくせに 変わらない愛を求め歌う そうして歯車は回る この必要以上の負担に ギシギシ鈍い音をたてながら 希望の数だけ失望は増える それでも明日に胸は震える 「どんな事が起こるんだろう?」 想像してみよう 出会いの数だけ別れは増える それでも希望に胸は震える 引き返しちゃいけないよね 進もう 君のいない道の上へ
69,CROSS ROAD,"
Mr.Children",桜井和寿,桜井和寿,lookin' for love 今建ち並ぶ街の中で 口ずさむ 『ticket to ride』 あきれるくらい君へのメロディー 遠い記憶の中にだけ 君の姿探しても もう戻らない でも忘れない 愛しい微笑み 真冬のひまわりのように 鮮やかに揺れてる 過ぎ去った季節に 置き忘れた時間を もう一度つかまえたい 誰もが胸の奥に秘めた 迷いの中で 手にしたぬくもりを それぞれに抱きしめて 新たなる道を行く 誘惑に彩られた 一度だけの誤ちを 今も君は許せぬまま 暮らす毎日 冷たい風に吹かれて たたずむマテリアルワールド 立ち止まる cross road さまよう winding road 傷つけずには愛せない 遠く想い焦がれて はりさけそうな夜も この手に受け止める つかの間の悲しみは やがて輝く未来へと 抱き合う度にいつも 二人歩んだ日々の 答えを探してきたけど 崩れてく音もたてずに 果たせぬままの夢 誰もが胸の奥に秘めた 迷いの中で 手にしたぬくもりを それぞれに抱きしめて 新たなる道を行く 遠く想い焦がれて はりさけそうな夜も この手に受け止める つかの間の悲しみは やがて輝く未来へと
70,グッバイ・マイ・グルーミーデイズ,"
Mr.Children",桜井和寿,桜井和寿・小林武史,"いつの間にか こんなふうに 夜空に溜め息浮かべてる あの娘の笑顔が ふっと 目を閉じるたびに 溢れてる 押さえきれず ダイヤル廻したけど 留守番電話に名前を ただ告げるだけ 待ちわびてるんだ ずっと Night & Day 本当の気持ち 聞けないまま 月とグラス合わせて 一人きりの Happy Birthday あきらめてた 心のポストの中 遅れて届いた あの娘からの Birthday Card 忘れかけてた想いが 胸の中ではじけてる tul… We want to be happy 始まりそうな予感で 体中がしびれてる もう止められない I want to be happy, You want to be happy I want to be happy, You want to be happy こぼれ落ちそうな星空 眠れずにずっと 眺めてた トラブル続きの 6days 忘れられそうなこの Weekend 夕べあの娘からの Telephone Call 真夜中まで 尽きない話の続きが 今日の待ち合わせ 忘れかけてた想いが 胸の中ではじけてる tul… We want to be happy 始まりそうな予感が 体中を駆けめぐる もう 止められない I want to be happy, You want to be happy I want to be happy, You want to be happy Good-bye my gloomy days"
71,幻聴,"
Mr.Children",桜井和寿,桜井和寿,やっと一息つけるねって思ったのも束の間 また僕は走り出す 決してのんびり暮らすのが嫌いなわけじゃない でももう一度走り出す 観覧車に乗っかった時に目にしたのは 地平線のある景色 そこで僕は手に入れたんだ 遮るもののない 果てなく広がる世界 夢から夢へと橋を架けて渡る そんなイメージが駆け巡り 向こうで手招くのは宝島などじゃなく 人懐っこくて 優しくて 暖かな誰かの微笑み 遠くで すぐそばで 僕を呼ぶ声がする そんな幻聴に 耳を澄まし追いかけるよ 切り札を隠し持っているように思わせてるカードは 実際は何の効力もない だけど捨てないで持ってれば 何かの意味を持つ可能性はなくない 一歩 また一歩 確実に進む そんなイメージも忘れずに 僕を手招くのは華やかな場所じゃなく 口下手で 人見知りで ちょっと寂しがり屋の溜息 遠くで すぐそばで 君の呼ぶ声がする そんな幻聴に 耳を澄まし追いかけるよ 向こうで手招くのは宝島などじゃなく 人懐っこくて 優しくて 暖かな誰かの微笑み 遠くで すぐそばで 僕を呼ぶ声がする そんな幻聴に 耳を澄まし また今日も 夢の橋を渡り追いかけるよ
72,声,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,言葉はなかった メロディーすらなかった リズムなんてどうでもよかった 喉まで上がった もやもやがあった 大声で叫びそうになった この街にあふれてる スピーカーから流れてる でも君にぴったりの歌を僕は探している 昔は嫌いだった なんか照れくさかった でも誰かに好かれたかった ファルセット出なかった ハモるの下手だった だけど三度下を歌いたがった 時には悲しんだり 時には喜んだり 君が鳴らす音楽にそっと寄り添っていたい 言葉はなかった メロディーすらなかった リズムなんてどうでもよかった 胸にしまってあった もやもやがあった たまらなく君に逢いたかった 別に巧くなくていい 声が枯れてたっていい 受け止めてくれる誰かがその声を待っている
73,こんな風にひどく蒸し暑い日,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,エビバデ・クラップ・ユアー・ハンズ きっと素敵な事も沢山あるでしょう でもこんな風にひどく蒸し暑い日は 思い出してしまうんだ その日 記録的猛暑が僕らを襲ってきて 映画館に逃げ込んで卑猥な映画見た 部屋に着くともう僕らはガラス窓閉め切って エアコンのない君の部屋で ただ夢中になってた 流れ出したモノでシーツが濡れてしまって 君はゴミでも捨てるように洗濯機に入れた 忘れて過ごしてんだ そんな光景は 今じゃ女房も子もある でもこんな風にひどく蒸し暑い日は 思い出してしまうんだ キャスターは温暖化の深刻さ訴える 「異常ですね」っておばちゃんも広場で話してる 人類の行く末 考えると不安で 水浸しの地球儀が夢の中でプカプカ浮いてた 忘れたふりしてんだ あんな光景は そんなに怖がってもいらんない でもこんな風にひどく蒸し暑い日は 思い出してしまうんだ エビバデ・クラップ・ユアー・ハンズ きっと素敵な事も沢山あるでしょう でもこんな風にひどく蒸し暑い日は 思い出してしまうんだ エビバデ・クラップ・ユアー・ハンズ 有楽町で今夜ホステスさんと遊ぶよ でもこんな風にひどく蒸し暑い日は 思い出してしまうんだ 思い出したくないが 思い出してしまうんだ
74,Sign,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,届いてくれるといいな 君の分かんないところで 僕も今奏でてるよ 育たないで萎れてた新芽みたいな音符(おもい)を 二つ重ねて鳴らすハーモニー 「ありがとう」と「ごめんね」を繰り返して僕ら 人恋しさを積み木みたいに乗せてゆく ありふれた時間が愛しく思えたら それは“愛の仕業”と 小さく笑った 君が見せる仕草 僕に向けられてるサイン もう 何ひとつ見落とさない そんなことを考えている たまに無頓着な言葉で汚し合って 互いの未熟さに嫌気がさす でもいつかは裸になり甘い体温に触れて 優しさを見せつけ合う 似てるけどどこか違う だけど同じ匂い 身体でも心でもなく愛している 僅かだって明かりが心に灯るなら 大切にしなきゃ と僕らは誓った めぐり逢った すべてのものから送られるサイン もう 何ひとつ見逃さない そうやって暮らしてゆこう 緑道の木漏れ日が君に当たって揺れる 時間の美しさと残酷さを知る 残された時間が僕らにはあるから 大切にしなきゃと 小さく笑った 君が見せる仕草 僕を強くさせるサイン もう 何ひとつ見落とさない そうやって暮らしてゆこう そんなことを考えている
75,さよなら2001年,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,毎月決まった日 振り込まれてくるサラリーのように 平和はもう僕等の前に 当たり前に存在はしてくれないけど 同じ過ち 僕等は繰り返し 結局誰も 解けない宿題 ねぇ 神様 あなたは何人いて 一体誰が本物なの? 僕にだけこっそり教えてよ もし優しさが 意味を無くして あらゆる人が 武器を取るなら ねぇ 神様 僕を握り潰して そっと火を付けてくれないかなぁ 煙になって 願いを空へと届けるから 僕等の前にもう少しだけ 楽しい未来が降るように あなたの前にもう少しだけ 無邪気な笑顔が降るように 今日よりも 現在よりも 君は拳を 堅く握って だけど誰にも 振り下ろせはしない ねぇ 神様 僕等に課せられてる そんな使命があるとしたら 進化むこと? それとも総てを終わらすこと? 僕等の前にもう少しだけ まともな世界が降るように あなたの前にもう少しだけ 嬉しい知らせが降るように 今日よりも 現在よりも 毎月決まった日 振り込まれてくるお給料のように 平和はもう僕等の前に 当たり前に存在はしてくれないけど 毎月決まった日 振り込まれてくるサラリーのように 平和はもう僕等の前に 当たり前に存在はしてくれないけど 今年こそはきっとあなたに たくさんのいいことがありますように あなたの前に優しい声が響くように 今年こそはきっとあなたに たくさんのいいことがありますように 今年こそはきっと世界に たくさんのいいことがありますように さよなら 2001年
76,さよならは夢の中へ,"
Mr.Children",桜井和寿,桜井和寿・小林武史,夢の続きのように 君の笑顔も霞んでく 恋に落ちたあの夜から さよならが潜んでたのに 二人はぎりぎりのところで 想いをつなぎとめてる 交わす言葉にさえ 鋭く神経(こころ)尖らせて 嵐のような涙のあとは 激しく心を求める 誰のせいでもなく愛は その傷口をひろげて 朝やけのビルの彼方へ はばたく鳥のように この胸の中を曇らす迷いを 大空高く飛ばして欲しい さよならは 夢の中へ 矛盾だらけの My mind 自由っていう孤独に吹かれて ほおづえをついて眺めてる 黄昏の光と影を Don't say good-bye 偽りない想いは Please don't cry 今も変わらぬ 二人でみつけた It's only love それだけが僕に安らぎをくれた 苦しい時も それは ただ一つの真実 いつしか全てはうつろう運命(さだめ)だとしても 今ならば きっと取り戻せる 二人出会った日の輝きを さよならは夢の中へ
77,Surrender,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,Coffeeぐらいで 火傷したのが 動揺してる 証拠なんだけど さよならを 君が急に云うからさ 笑い飛ばす事ができたなら どんなにかグレイトな奴と思われるだろう? でも 僕は違う もう 土壇場 されど もうひと押し けれど I Surrender 分厚い積乱雲が 胸の中に立ち籠める 愛情なんて どうせイリュージョンだと 訳しり顔で暮らした日々は 君が白痴に思えもしたけど もう こてんぱん ただの お人好し もはや I Surrender 大キライなフュージョンで 泣けそうな自分が嫌 イヤ 暗闇を照らしてよ あの頃のように 君無しじゃ不安定なんだよ 一切合切を無くしても 構わないと思えてたのに そう信じれたのに 胸に無情の雨が降る 二人で過ごした日々は 路上のチリのよう 流れて 消えて The Endさ
78,365日,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,聞こえてくる 流れてくる 君を巡る 抑えようのない想いがここにあんだ 耳を塞いでも鳴り響いてる 君が好き 分かっている 馬鹿げている でもどうしようもない 目覚めた瞬間から また夢の中 もうずっと君の夢を見てんだ 同じ気持ちでいてくれたらいいな 針の穴に通すような願いを繋いで 365日の 言葉を持たぬラブレター とりとめなく ただ君を書き連ねる 明かりを灯し続けよう 心の中のキャンドルに フーっと風が吹いても消えたりしないように 例えば「自由」 例えば「夢」 盾にしてたどんなフレーズも 効力(ちから)を無くしたんだ 君が放つ稲光に魅せられて 「ひとりきりの方が気楽でいいや」 そんな臆病な言い逃れはもう終わりにしなくちゃ 砂漠の街に住んでても 君がそこにいさえすれば きっと渇きなど忘れて暮らせる そんなこと考えてたら 遠い空の綿菓子が ふわっと僕らの街に 剥がれて落ちた 君に触れたい 心にキスしたい 昨日よりも深い場所で君と出逢いたい 365日の 心に綴るラブレター 情熱に身を委ねて書き連ねる 明かりを守り続けよう 君の心のキャンドルに フーっと風が吹いても消えぬように 365日の 君に捧げる愛の詩 聞こえてくる 流れてくる 君を巡る 想いのすべてよ どうか君に届け
79,SUNRISE,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,フェードアウトしてゆく優しいメロディー スピーカーに耳を澄まして 乾いた部屋に余韻がこだました 目の前の扉 開けない僕をせかし続けていた時間が その間だけ静かに止まった 公園の方から笑い声 最後に笑った日 思い出そうとしてやめて... 思い切り息を吸い込んで この想いを空に放ちたい 自分の世界に閉じこもった 冴えない気分から抜け出して どんなときだってサンライズ この胸に輝かせていたいんだ 大きなもの 揺るぎないもの そう疑いもしないで過ごした 家族の愛にいつも守られて どうしてこんな 不確かなものを 無邪気に信じていれたんだ? どうしてこんな 不安定なものを... 少年の日々を回想うとき 不思議なほど幸福な気持ちが僕を包む 思い切り両手を伸ばして あの優しい空気に触りたい 僕を金縛りにする すべての迷いを引き千切って まだ分かりたくはない どうせいつか思い知らされるんだ Sunrise brightens up 誰かを愛したり 抱き合ったり 繰り返すいのちに少し今も胸が躍る 思い切り息を吸い込んで この想いを空に放ちたい 自分の世界に閉じこもった 冴えない気分から抜け出して 何度沈んだってサンライズ この胸に輝かせていたいんだ
80,The song of praise,"
Mr.Children",桜井和寿,桜井和寿,積み上げて また叩き壊して 今僕が立ってる居場所を 憎みながら 愛していく ここにある景色を讃えて いつも取るに足らないことに頭悩まされてた 毛頭 それで何か変わりそうな予感すらしていないのに だけど逃げるは論外 だって他に行き場なんかない 昔は 自分の価値を過信しては 高い空を見上げて過ごした 駅ビルの四角い窓から 時々 夕日が顔を出し 憐れむように 讃えるように 僕の顔を照らした 僕に残されている 未来の可能性や時間があっても 実際 今の僕のままの方が 価値がある気がしてんだよ そう誰もひとりじゃないんだ 僕だって小さな歯車 今なら 違う誰かの夢を通して 自分の夢も輝かせていけるんだ 積み上げて また叩き壊して 今僕が立ってる居場所を 呪いながら 愛していく ここにある景色を讃えて 誰もひとりじゃない きっとどっかで繋がって この世界を動かす小さな歯車 誰もひとりじゃない だからどっかでぶつかって この世界で藻掻く小さな そう小さな歯車 積み上げて また叩き壊して 今僕が立ってる居場所を 嫌いながら 愛していく ここにある景色を讃えたい
81,幸せのカテゴリー,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,通り過ぎる愛の言葉 唇を重ねたって 孤独な風 胸を吹き抜ける 出会った日の弾む鼓動は 日常と言う名の フリーザーの中で とうに凍りついてる “夢のような毎日が 手を伸ばせばそこに立ってる” そんなふうに自分に 言い聞かせて過ごしてたけど 傷つく事 傷つける事が 互いになんとなく面倒くさかっただけ 形式だけに 目を奪われて ただスマートに納まってようとした二人 今となっては 消えゆく幸せの Category 誰かの忠告も聞かず 不吉な占いを 笑い飛ばしてた まだ無防備だった頃 限りなく全てが 上手くいってるように思ってた 幸せってあまりに もろく儚いものなんだね 日のあたる場所に続く道 違う誰かと歩き出せばいいさ 恋人同士ではなくなったら 君のいいとこばかり思い出すのかな? 当分はそうだろう でも君といるのは懲り懲り 本当の自分なんて 何処にもいないような気がしてる だからこそ僕らは その身代わりを探すんだね 恋の旅路は続くんだね もう何も 望みはしないけど 最近はちょっぴり解りかけてるんだ 愛し方って もっと自由なもんだよ 君もいつしかその事に気付くのだろう じゃあ その日まで さよなら幸せの Category
82,シーラカンス,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,シーラカンス 君はまだ深い海の底で静かに生きてるの？ シーラカンス 君はまだ七色に光る海を渡る夢見るの？ ある人は言う 君は滅びたのだと ある人は言う 根拠もなく生きてると とは言え君が この現代に渦巻く メガやビットの海を泳いでいたとしてもだ それがなんだって言うのか 何の意味も 何の価値もないさ シーラカンス 君はまだ深い海の底で静かに生きてるの？ シーラカンス 君はまだ七色に光る海を渡る夢見るの？ ある人は言う 君は滅びたのだと ある人は言う 根拠もなく生きてると どうしたら僕ら 答えを見つけだせるの どんな未来を目指すも 何処に骨を埋めるも 選択肢はいくつだってある 言うなれば自由 そして僕は微かに左脳の片隅で君を待ってる シーラカンス 僕の心の中に 君が確かに住んでいたような気さえもする シーラカンス ときたま僕は 僕の愛する人の中に君を探したりしてる 君を見つけだせたりする
83,思春期の夏 ～君との恋が今も牧場に～,"
Mr.Children",桜井和寿・小林武史,鈴木英哉・小林武史,昼も夜も待ち続けてた 思春期の夏 あの牧場にある ベンチにいつも腰かけて 自転車に乗って つゆ草をかきわけて行く 君をずっと 眺めていた 生まれて初めて誰かを 好きになったのに どうしていいのか解らずに また陽が暮れる 明日になればきっと Ah 君のもとに届くように 君の髪が陽に照らされて 色が変わるね それはこの世で 一番すてきな景色 青い空は どこまでも続いてゆくけれど 未来だけ 見えずにいた 君は野原に飛びかう トンボを見ていた どうしていいのか解らずに また陽が暮れる 明日になればきっと Ah 恋の果実 実るように 8ミリフィルムのような 思い出のスクリーン モノクロームの僕がいる 君との恋が 今も牧場に 明日になればきっと Ah 恋の果実 実るように
84,斜陽,"
Mr.Children",桜井和寿,桜井和寿,「夏が終わる」その気配を 陽射しの弱さで無意識が悟るような 時の流れ 音をたてぬ速さで 様々なものに翳りを与えてゆく 心の中にある 青い蒼い空 今尚 雲一つなく澄み渡る 陽気な声がそこには響いてて 青空の下 人は集い笑ってる ビルの影が東に伸びて 家路を辿る人の背中が増えてく その営み それぞれの役割を 果たしながら 背負いながら歩いていく 憂いをおびたオレンジ色の空 眩しさは消えてもまだ温かい 懐かしい歌をふと口ずさめば 愛しき人の面影がふと浮かび上がる 心の中にある 青い蒼い空 今尚 雲一つなく澄み渡る その眩しさに また目を細めて 今日も僕は大空に手を伸ばしてみる
85,終末のコンフィデンスソング,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,評論家の指摘なんか気になんないくらい インパクトこそないけど良い映画だったなぁ ちょっぴり泣いてたろう? 気が付いてたんだよ 僕にしたって そうよ 街中にゴシップが散撒かれてる 面白がって誰もがそれに火をつける 自分より劣ってる マヌケをあぶりだし ホッと胸撫で下ろしてる イライラした空気が僕の履くズボンの裾を踏んでる 立ち止まることで その先にある危険から逃れる手段もあるだろうが Oh No! 焔 蒼白き瞳の焔で その薄暗い足元を照らし出せ 道は続いてる すごく欲しかった物から そうでもないモンまで クリック ドラッグ R&R 何だって手に入る さぁ 油断して渡ろう 慢心して進もう 文明の恩恵の上を たまに不吉な夢見るんだよ 走っているのに進まない ひょっとしたら実際に起きてることを夢の中で知らせるメタファーかも Oh No! 想像してたよりも速いスピード この迫り来る敵に立ち向かう 準備はできたかい? ドンキホーテみたいに さぁ フワフワした気分で地に足が着かない いつまでしがみついていれるかな? この地球の上 Nowhere !? イライラした空気が君の履くヒールの踵を蹴りつける 引き返すことで その先にある危険から逃れる手段もあるだろうが Oh No! 焔 蒼白き瞳の焔で その危なっかしい足元を照らし出せ 道は続いてる そう続いてくんだ 批判家の指摘も間違っちゃいないけど 今僕らの目の前で起こってることを 楽観も悲観もなく ちゃんと捕まえたら 足元に落とした視線を 上にあげ 胸を張れ!
86,少年,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,足音を忍ばせ 君の扉の前に立ち 中から漏れる声に耳を澄ましたら 驚かさないようにそっとノックをしなくちゃな ねぇそこにいるんだろう? もう入ってもいいかなぁ? 君のその内側へと 僕は手を伸ばしているよ 日焼けしたみたいに心に焼き付いて 君の姿をした跡になった ひまわりが枯れたって 熱(ほて)りがとれなくて まだ消えずにいるよ 瞼の内側で君を抱きしめると 心臓の鼓動が僕に襲い掛かってくる そいつをなだめて優しく手なずけるまで まだ時間がかかりそうなんだ できるだけリアルに君を描写したいと思う そのための時間を僕にくれないかなぁ? どんな名画よりも美しく描くから じっとしてなくてもいいんだよ 笑ってなくてもいいんだよ ただ君のまんまでこっちを向いてておくれよ 「幸せ」はいつだって 抱きしめたとたんにピントがぼやけてしまうから そうなる少し前でしっかり見続けよう なんて、できるのかなぁ? 僕の中の少年は無防備な笑顔で 自転車を飛ばして君に会いたいと急ぐ 甘えもわがままも すべてをさらけ出してくれていいよ 僕がちゃんと受け止めるよ 君のその内側へと 僕は手を伸ばしているよ 日焼けしたみたいに心に焼き付いた 君の姿をした跡になった 蝉が死んでいったって 熱りがとれなくて まだ消えずにいるよ 僕の中の少年は汗まみれになって 自転車を飛ばして君に会いたいと急ぐ 迷いも悲しみも すべてをぶちまけてくれたっていいよ 僕が全部受け止めるよ
87,しるし,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,最初からこうなることが決まっていたみたいに 違うテンポで刻む鼓動を互いが聞いてる どんな言葉を選んでも どこか嘘っぽいんだ 左脳に書いた手紙 ぐちゃぐちゃに丸めて捨てる 心の声は君に届くのかな? 沈黙の歌に乗って... ダーリンダーリン いろんな角度から君を見てきた そのどれもが素晴しくて 僕は愛を思い知るんだ 「半信半疑=傷つかない為の予防線」を 今、微妙なニュアンスで君は示そうとしている 「おんなじ顔をしてる」と誰かが冷やかした写真 僕らは似ているのかなぁ? それとも似てきたのかなぁ? 面倒臭いって思うくらいに真面目に向き合っていた 軽はずみだった自分をうらやましくなるほどに 心の声は誰が聞くこともない それもいい その方がいい ダーリンダーリン いろんな顔を持つ君を知ってるよ 何をして過ごしていたって 思いだして苦しくなるんだ カレンダーに記入したいくつもの記念日より 小刻みに 鮮明に 僕の記憶を埋めつくす 泣いたり笑ったり 不安定な想いだけど それが君と僕のしるし ダーリンダーリン いろんな角度から君を見てきた 共に生きれない日が来たって どうせ愛してしまうと思うんだ ダーリンダーリン Oh My darling 狂おしく 鮮明に 僕の記憶を埋めつくす ダーリンダーリン
88,深海,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,僕の心の奥深く 深海で君の影揺れる あどけなかった日の僕は 夢中で君を追いかけて 追いかけてたっけ シーラカンス これから君は何処へ進化むんだい シーラカンス これから君は何処へ向かうんだい 失くす物など何もない とは言え我が身は可愛くて 空虚な樹海を彷徨うから 今じゃ死にゆくことにさえ憧れるのさ シーラカンス これから君は何処へ進化むんだい シーラカンス これから君は何処へ向かうんだい シーラカンス これから君は何処へ進化むんだい 連れてってくれないか 連れ戻してくれないか 僕を 僕も
89,進化論,"
Mr.Children",桜井和寿,桜井和寿,この世界に生まれ持って携えた使命が もしあるとしたら それはどんなものだろう？ 大それたものでは きっとないな だからと言って どうでもいいことじゃ寂しい気もする 大小の様々な歯車が複雑に絡み合い 今日も廻ってる あぁ この世界 愛しき世界 君と廻してる 進化論では首の長い動物は 生存競争の為にそのフォルムを変えてきたと言う 「強く望む」ことが世代を越えて いつしか形になるなら この命も無駄じゃない 空を飛び 海を渡り 僕らの夢はまだ膨らむ 誰も傷つけない 優しい夢を 素敵な夢を 君に引き継げるかな？ 変わらないことがあるとすれば 皆 変わってくってことじゃないかな？ 描かずに消した 読まずに伏せた 夢をもう一度広げよう 空を飛び 月を歩き それでも自然に脅(おびや)かされる すべて受け入れて 見果てぬ夢を 素敵な夢を 君と見ていたい 今日も廻ってる あぁ この世界 愛しき世界 君と明日も廻していこう
90,蜃気楼,"
Mr.Children",桜井和寿・小林武史,桜井和寿・小林武史,今じゃちょっとした笑い話 僕がずっと捕らわれてたコンプレックス 打たれても痛みすらないのは タフになったのか？ 麻痺したのか？ I will be there it's alright 呪文唱えるように Everything gonna be alright 人はいつもないものねだり 崩れ去ってやっと気付く幸福 夢は一歩踏みはずせば虚像さ 今になって思い知らされてる I will be there it's alright 手招きしてるボーダーライン Everything gonna be alright I will be there it's alright 壊れかけた孤独な心 Everything gonna be alright 心の何処かに 今でも潜んでる “気狂いピエロ”が 駆けずり回って追い続けた夢が 砂のように手の中をすりぬける 吹きすさぶ風に尋ねてみる この道の行方を 今 すべき事は何？ I will be there it's alright ゆがんでるボーダーライン Everything gonna be alright I will be there it's alright 手探りのシャドーパンチング Everything gonna be alright この胸の中を焦がして消える 夢は蜃気楼 I will be there it's alright 手招きしてるボーダーライン Everything gonna be alright I will be there it's alright 壊れかけた孤独な心 Everything gonna be alright 心の何処かに 今でも潜んでる “狂った果実”が
91,SINGLES,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,君は嬉しそうに しばらく空を見ていた 東京タワーの向こうに 虹が架かって で、そのあと僕の頬にキスした 僕は意外と いろんなことを覚えてて 戻れないこと よくわかってたって 何処かに面影を探してしまう 自分に聴かせるだけの口笛は 少しだけ寂しくて胸締め付けるメロディ 悲しいのは今だけ 何度もそう言い聞かせ いつもと同じ感じの 日常を過ごしている それぞれが思う幸せ 僕が僕であるため oh I have to go oh I have to go どんな音楽も 痛快と話題の映画も 君の笑顔には敵わないってわかった ねぇ君はまだあの虹を覚えてる？ 誰かの為に生きるって誇りを 僕に教えてくれたのは 君だけと言い切っていい 守るべきものの数だけ 人は弱くなるんなら 今の僕はあの日より きっと強くなったろう それぞれが思う幸せ 君が君であるため oh you'll have to go 誰もが胸の中で 寂しさっていう名の歌を歌ってる 少し もの悲しくて 人恋しくなるメロディ 楽しいのは今だけ 自分にそう言い聞かせ 少し冷めた感じで 生きる知恵もついたよ それぞれが思う幸せ 僕が僕であるため oh I have to go oh I have to go oh you'll have to go oh we'll have to go
92,Simple,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,マイナス思考で悩みまくった結果 この命さえも無意味だと思う日があるけど 「考え過ぎね」って君が笑うと もう10代の様な無邪気さがふっと戻んだ 10年先も 20年先も 君と生きれたらいいな 悲しみを連れ 遠回りもしたんだけど 探してたものは こんなシンプルなものだったんだ 喧嘩した時には欠点でもあんだけど 自分に正直で遠慮の無いとこにひかれんのさ 互いに背負った傷をいつしか ちょっとはにかんで交換し合えたならいいな 寂しい曲も 哀しい曲も 君と奏でればいいや 失ったものを さりげなく憂いながら 微かな戸惑いを そっと吐き出しながら ざあざあ降りの雨を全身で受けながら 凛々と茂るあの草木の様に 強く 強く 10年先も 20年先も ずっと傍に居て欲しいんだ 悲しみを連れ 遠回りもしたんだけど 探してたものは こんなシンプルなものだったんだ 君となら 何だって信じれる様な気がしてんだ 探してたものは こんなシンプルなものだったんだ
93,シーソーゲーム ～勇敢な恋の歌～,"
Mr.Children",桜井和寿,桜井和寿,愛想なしの君が笑った そんな単純な事で 遂に肝心な物が何かって気付く 打ち明け話にあった純情を捧げたって奴に 大人げなく嫉妬したりなんかして ねえ 等身大の愛情で挑んでるのに 世間は暗い話題 恋なんて言わばエゴとエゴのシーソーゲーム いつだって君は曖昧なリアクションさ 友人の評価はイマイチでもShe So Cute 順番を待ってたんじゃつらい 勇敢な恋の歌 劣等感を逆手にとってわがままばかりの君が 隠し持った母性本能は凄い ねえ 変声期みたいな吐息でイカせて 野獣と化してAh Ah 何遍も恋の辛さを味わったって 不思議なくらい人はまた恋に落ちてゆく 運命のイタズラってやつも考慮して 照準を絞ってステップアップしたい そう祈って眠るだけ アダムとイブの時代から 流れてくる我らの血潮 愛の神秘に魅せられて 迷い込む恋のラビリンス シーソーゲーム 世界中の誰もが シーソーゲーム 業の深い生命体 シーソーゲーム 過ちを繰り返す人生ゲーム シーソーゲーム 恋なんて言わばエゴとエゴのシーソーゲーム 図に乗って君はまたノーリアクションさ 何遍も恋の苦さを味わったって 不気味なくらい僕は今恋に落ちてゆく 愛想が尽きるような時ほどShe So Cute お望み通りUp Side Down 勇敢な戦士みたいに愛したいな
